Topic,Words,Frequency,Timestamp
100,"migrant, recherche, sicherheitskraft, verschleppen, migration",5,2024-05-19 23:38:24.000000000
101,"unruhe, australien, neuseeland, macron, präsident macron",2,2024-05-19 23:38:24.000000000
104,"prinz, oberlandesgericht, heinrich, angeklagter, frankfurt main",2,2024-05-19 23:38:24.000000000
106,"bekämpfung, euro zahlen, systematisch, personell, financial",4,2024-05-19 23:38:24.000000000
107,"bundesstaat, besitz, us bundesstaat, gesetzentwurf, substanz",1,2024-05-19 23:38:24.000000000
108,"autonom, menschheit, ki, autor, science",4,2024-05-19 23:38:24.000000000
111,"ortschaft, weigern, stärke, erschüttern, unbekannte",3,2024-05-19 23:38:24.000000000
114,"high, court, julian, gründer, australier",10,2024-05-19 23:38:24.000000000
115,"höcke, kommunalwahl, thüringer, stark kraft, landtagswahl",1,2024-05-19 23:38:24.000000000
117,"buschmann, standard, verzichten, einhalten, bundesjustizminister",2,2024-05-19 23:38:24.000000000
118,"rom, open, alexander, triumph, roland",3,2024-05-19 23:38:24.000000000
119,"chatgpt, ai, open, turbo, generativ ki",3,2024-05-19 23:38:24.000000000
-1,"grundgesetz, 24 05 2024, 24 05, 24, wohnung",433,2024-05-22 03:25:42.857142784
0,"gazastreifen, rafah, hamas, israelisch, israel",55,2024-05-22 03:25:42.857142784
1,"ukrainisch, russisch, putin, russland, ukraine",38,2024-05-22 03:25:42.857142784
2,"gewitter, starkregen, grad, feuer, unwetter",8,2024-05-22 03:25:42.857142784
3,"trump, donald trump, flagge, donald, republikanisch",12,2024-05-22 03:25:42.857142784
4,"lkw, unfall, jähriger, fahrer, polizei",26,2024-05-22 03:25:42.857142784
5,"erneuerbar, erneuerbar energie, energie, industrie, strom",15,2024-05-22 03:25:42.857142784
6,"fahrzeug, tesla, ford, fußgänger, elektrisch",12,2024-05-22 03:25:42.857142784
7,"inflation, zins, anleger, zentralbank, punkt",14,2024-05-22 03:25:42.857142784
8,"parole, rassistisch, grölen, sylt, rassismus",13,2024-05-22 03:25:42.857142784
9,"erkrankung, kontakt, bundesstaat, chronisch, patient",14,2024-05-22 03:25:42.857142784
10,"rassemblement, rassemblement national, le pen, pen, rn",7,2024-05-22 03:25:42.857142784
11,"hubschrauber, absturz, iran, iranisch, insasse",5,2024-05-22 03:25:42.857142784
12,"tragödie, regisseur, super, theater, morgan",6,2024-05-22 03:25:42.857142784
13,"tier, krank, sammeln, fett, experte sehen",3,2024-05-22 03:25:42.857142784
14,"apple, datenbank, app, preisvergleich, panel",7,2024-05-22 03:25:42.857142784
15,"komponente, china, chinesisch, finanzminister, halbleiter",6,2024-05-22 03:25:42.857142784
16,"id, delegation, fraktion, ausschluss, krah",14,2024-05-22 03:25:42.857142784
17,"bayer, liga, fc, nico, georg",7,2024-05-22 03:25:42.857142784
18,"deutsch bank, bank, rolf, hund, it",6,2024-05-22 03:25:42.857142784
19,"manfred, dr, wissenschaft, portal, österreichisch",7,2024-05-22 03:25:42.857142784
20,"turnier, alexander, paris, halbfinal, open",3,2024-05-22 03:25:42.857142784
21,"arbeitsmarkt, geflüchtet, arbeitnehmer, job, überdurchschnittlich",6,2024-05-22 03:25:42.857142784
22,"taiwan, peking, china, manöver, insel",13,2024-05-22 03:25:42.857142784
23,"bayer, bochum, olympia, spaß, hofmann",8,2024-05-22 03:25:42.857142784
24,"fair, demokratisch partei, sachlich, demokratisch, partei",9,2024-05-22 03:25:42.857142784
25,"gefängnis, american, pflanze, lebensgefährlich, haft",7,2024-05-22 03:25:42.857142784
26,"mexiko, bühne, wahlkampfveranstaltung, san, unglück",5,2024-05-22 03:25:42.857142784
27,"investor, start up, bahn, milliarde euro, milliarde",7,2024-05-22 03:25:42.857142784
28,"passagier, singapur, flug, operieren, maschine",4,2024-05-22 03:25:42.857142784
29,"konservative, großbritannien, premierminister, parlamentswahl, konservativ",13,2024-05-22 03:25:42.857142784
30,"afghanistan, tourist, dreieck, neuköllner, antisemitisch",6,2024-05-22 03:25:42.857142784
31,"nvidia, prozessor, intel, arm, chip",4,2024-05-22 03:25:42.857142784
32,"deutsch bank, bank, metall, standort, merz",10,2024-05-22 03:25:42.857142784
33,"angehörige, mutter, pflegen, der, www",7,2024-05-22 03:25:42.857142784
34,"vorsicht, vertrag, kunde, podcast, dienst",3,2024-05-22 03:25:42.857142784
35,"swift, song, taylor, ehemann, paul",5,2024-05-22 03:25:42.857142784
36,"dfb, fan, anhänger, friedrichshain, partie",2,2024-05-22 03:25:42.857142784
37,"double, endspiel, partie, schwach, leistung",1,2024-05-22 03:25:42.857142784
39,"restaurant, trümmer, strand, de, stock",12,2024-05-22 03:25:42.857142784
40,"pnn, potsdam, winter, wichtig thema, bündnis",4,2024-05-22 03:25:42.857142784
41,"anerkennung, palästina, spanien, irland, norwegen",5,2024-05-22 03:25:42.857142784
42,"box, kiosk, künstler, londoner, atelier",6,2024-05-22 03:25:42.857142784
43,"kirche, wunder, carlo, evangelisch, gott",5,2024-05-22 03:25:42.857142784
44,"bahn, zug, fahrt, deutsch bahn, streichen",5,2024-05-22 03:25:42.857142784
45,"mädchen, dorf, hamburger, hochzeit, verheerend",4,2024-05-22 03:25:42.857142784
46,"windows, microsoft, update, office, entwickler",9,2024-05-22 03:25:42.857142784
47,"schüler, heinz, josef, grundgesetz, frankfurter",3,2024-05-22 03:25:42.857142784
48,"zufällig, kaffee, baustelle, job, kreativ",2,2024-05-22 03:25:42.857142784
49,"insolvenz, filiale, jack, lieferant, gmbh",1,2024-05-22 03:25:42.857142784
50,"landesregierung, einnahme, schuld, kredit, haushalt",5,2024-05-22 03:25:42.857142784
51,"illustrieren, vorsitz, verfassung, versammlung, ausschuss",1,2024-05-22 03:25:42.857142784
52,"werbung, dokumentation, bundesverband, digitalisierung, verordnung",2,2024-05-22 03:25:42.857142784
53,"einführung, bundesrat, versicherung, saarland, belastung",1,2024-05-22 03:25:42.857142784
55,"trainer, vincent, rechtsaußen, verpflichtung, jubiläum",1,2024-05-22 03:25:42.857142784
56,"change, zone, material, stabil, support",2,2024-05-22 03:25:42.857142784
57,"lindner, milliarde euro, verlangen, milliarde, einigung",1,2024-05-22 03:25:42.857142784
58,"arena, probieren, final, friedrichshain, halbfinal",3,2024-05-22 03:25:42.857142784
59,"pnn, potsdamer, potsdam, affäre, oberbürgermeister",4,2024-05-22 03:25:42.857142784
60,"ns, grundgesetz, rat, lehre, verkörpern",2,2024-05-22 03:25:42.857142784
61,"marc, botschafter, swr, beharrlich, grundgesetz",4,2024-05-22 03:25:42.857142784
62,"werkzeug, anpassen, farbe, korrigieren, lippe",1,2024-05-22 03:25:42.857142784
64,"stern, planet, loch, entstehung, licht",7,2024-05-22 03:25:42.857142784
66,"feld, abgeordnetenhaus, senat, entwurf, schwarz rot",3,2024-05-22 03:25:42.857142784
67,"halbjahr, einigung, raum stehen, staatsanwaltschaft, hauptversammlung",1,2024-05-22 03:25:42.857142784
68,"report, gesundheit, klimawandel, forschend, fazit",1,2024-05-22 03:25:42.857142784
69,"sängerin, light, musiker, band, musik",4,2024-05-22 03:25:42.857142784
70,"erde, instrument, senden, befehl, entfernung",1,2024-05-22 03:25:42.857142784
72,"gipfel, ausbruch, berg, rekord, anzeichen",2,2024-05-22 03:25:42.857142784
73,"prinz, bystron, verteidiger, heinrich, angeklagter",4,2024-05-22 03:25:42.857142784
74,"schülerin schüler, schülerin, kita, schüler, lernen",3,2024-05-22 03:25:42.857142784
75,"zeugen, china, chinesisch, verstörend, spitzen",2,2024-05-22 03:25:42.857142784
76,"golf, pariser, dame, olympisch spiel, erhöht",2,2024-05-22 03:25:42.857142784
77,"verfassungsschutz, grundgesetz, maier, sächsisch, dresdner",8,2024-05-22 03:25:42.857142784
78,"bild zeigen, quer, 17 mai, andauern, schlange",1,2024-05-22 03:25:42.857142784
80,"verwaltung, experimentieren, ki anwendung, intelligent, existenz",1,2024-05-22 03:25:42.857142784
81,"google, browser, com, pur, ai",7,2024-05-22 03:25:42.857142784
82,"litauen, lindner, zeitenwende, bundeswehr, verteidigungsminister",3,2024-05-22 03:25:42.857142784
83,"wissenschaftler, methode, musk, forscher, technology",4,2024-05-22 03:25:42.857142784
84,"wahlkampfveranstaltung, linken, unbekannte, ermittlungsverfahren, beschwerde",2,2024-05-22 03:25:42.857142784
85,"zweifeln, immobilie, lohnen, viertel, zins",3,2024-05-22 03:25:42.857142784
86,"wm, schweizer, schweiz, weltmeisterschaft, tschechien",3,2024-05-22 03:25:42.857142784
87,"podcast, montag freitag, abonnieren, apps, neuwahl",2,2024-05-22 03:25:42.857142784
88,"freigabe, konsum, gramm, innenministerium, gesetz",2,2024-05-22 03:25:42.857142784
89,"schwachstelle, attacke, angreifer, download, lücke",2,2024-05-22 03:25:42.857142784
90,"zoo, konrad, wolf, david, josef",3,2024-05-22 03:25:42.857142784
91,"nvidia, umsatz, übertreffen, milliarde dollar, chip",7,2024-05-22 03:25:42.857142784
92,"it, workshop, security, mainz, business",3,2024-05-22 03:25:42.857142784
93,"kaffee, service, gratis, deutlich niedrig, tochtergesellschaft",1,2024-05-22 03:25:42.857142784
94,"richtlinie, eu staat, existenziell, beschließen, endgültig",4,2024-05-22 03:25:42.857142784
95,"kilometer pro, pro stunde, sturm, aufweisen, la",1,2024-05-22 03:25:42.857142784
96,"unlängst, erpressen, cyberangriff, russland ukraine, freiheitlich",1,2024-05-22 03:25:42.857142784
97,"aufsichtsrat, einstieg, milliardär, tschechisch, metall",6,2024-05-22 03:25:42.857142784
98,"scholz, aktivist, danken, kampagne, wolfgang",2,2024-05-22 03:25:42.857142784
99,"finanzministerium, bezahlung, personalie, bedenken, staatssekretär",1,2024-05-22 03:25:42.857142784
100,"konservative, großbritannien, migrant, verabschiedet, boot",1,2024-05-22 03:25:42.857142784
101,"unruhe, macron, australien, befürworter, ruhe",5,2024-05-22 03:25:42.857142784
103,"fitness, überwinden, alkohol, mann frau, krankheit",1,2024-05-22 03:25:42.857142784
104,"stuttgart, haft verurteilen, polizeibeamter, verurteilen, rechtskräftig",2,2024-05-22 03:25:42.857142784
108,"weitreichend, intelligenz, künstlich intelligenz, rahmenbedingung, update",1,2024-05-22 03:25:42.857142784
109,"sächsisch, supermarkt, mario, afd politiker, politiker",3,2024-05-22 03:25:42.857142784
110,"who, jugendliche, kind jugendliche, jung erwachsene, gehirn",2,2024-05-22 03:25:42.857142784
111,"polizei mitteilen, flamme, feuerwehr, box, feuer",2,2024-05-22 03:25:42.857142784
112,"deutsch bank, museum, bank, rolf, frankfurt",5,2024-05-22 03:25:42.857142784
113,"plus prozent, nationalität, bundesamt, vorjahr, schutz",2,2024-05-22 03:25:42.857142784
114,"eingriff, übergeben, gesundheitszustand, informieren, minister",1,2024-05-22 03:25:42.857142784
115,"verfassung, ddr, grundgesetz, einheit, volk",3,2024-05-22 03:25:42.857142784
117,"schuldenbremse, prozent stimme, bonn, umfrage, grundgesetz",4,2024-05-22 03:25:42.857142784
118,"hammer, open, alexander, rom, nummer eins",1,2024-05-22 03:25:42.857142784
119,"ai, ersatz, feedback, gerät, smartphone",1,2024-05-22 03:25:42.857142784
-1,"25 05, 25 05 2024, 26 05 2024, 26 05, barcelona",236,2024-05-24 06:51:25.714285824
0,"rafah, gazastreifen, israelisch, israel, hamas",38,2024-05-24 06:51:25.714285824
1,"ukrainisch, russisch, russisch angriff, ukraine, territorium",25,2024-05-24 06:51:25.714285824
2,"autobahn, grad, fabian, starkregen, gewitter",7,2024-05-24 06:51:25.714285824
3,"trump, donald trump, donald, republikaner, präsident donald trump",9,2024-05-24 06:51:25.714285824
4,"schwer verletzen, krankenhaus, autofahrer, polizei, baum",11,2024-05-24 06:51:25.714285824
5,"einbinden, üblicherweise, co₂, kombinieren, verwendung",1,2024-05-24 06:51:25.714285824
6,"fahrzeug, weiten, untersuchung, elektrisch, meter",4,2024-05-24 06:51:25.714285824
7,"landesamt, wohnung, 26 05 2024, 26 05, hervorgehen",1,2024-05-24 06:51:25.714285824
8,"sylt, parole, rassistisch, grölen, bar",12,2024-05-24 06:51:25.714285824
9,"patient, schwanger, woraufhin, fortan, überleben",6,2024-05-24 06:51:25.714285824
10,"kandidat, thüringen, bsw, stadtrat, stichwahl",5,2024-05-24 06:51:25.714285824
11,"regime, gucken, ideologie, versammeln, unterstützer",1,2024-05-24 06:51:25.714285824
12,"regisseur, film, cannes, jury, taylor",9,2024-05-24 06:51:25.714285824
13,"dieter, pflanze, rufe, braun, unweit",3,2024-05-24 06:51:25.714285824
15,"jung mensch, unzufriedenheit, wohlstand, unsicherheit, einhalten",1,2024-05-24 06:51:25.714285824
17,"em, abschied, bundestrainer, dfb, wiesbaden",4,2024-05-24 06:51:25.714285824
18,"wahrheit, stets, aussage, mann, lösung",1,2024-05-24 06:51:25.714285824
19,"licht, ball, ermordet, saal, gast",4,2024-05-24 06:51:25.714285824
20,"roland, open, runde, turnier, carlos",3,2024-05-24 06:51:25.714285824
21,"statistisch bundesamt, lohn, beruf, senken, verdienen",5,2024-05-24 06:51:25.714285824
22,"taiwan, peking, china, zweitägig, insel",6,2024-05-24 06:51:25.714285824
23,"bayer, pokal, fc, dfb, fußball",9,2024-05-24 06:51:25.714285824
24,"urban, krah, afd, sächsisch, eigens",6,2024-05-24 06:51:25.714285824
25,"the guardian, guardian, stundenlang, psychologisch, strafverfahr",2,2024-05-24 06:51:25.714285824
26,"herzen, nerv, geduld, gouverneur, annahme",1,2024-05-24 06:51:25.714285824
27,"lake, software, hauptversammlung, darmstadt, zugrunde",1,2024-05-24 06:51:25.714285824
28,"flugzeug, maschine, flug, irisch, flughafen",5,2024-05-24 06:51:25.714285824
29,"sozialdemokrat, großbritannien, premierminister, umfrage zufolge, kontrahent",2,2024-05-24 06:51:25.714285824
32,"französisch, air, deutsche, berater, kölner",5,2024-05-24 06:51:25.714285824
33,"urban, verdienen, 25 05, 25 05 2024, ticket",3,2024-05-24 06:51:25.714285824
34,"messenger, internet, oh, research, kommunikation",5,2024-05-24 06:51:25.714285824
35,"liebe, lied, richard, song, toujours",9,2024-05-24 06:51:25.714285824
36,"league, fc, dieter, bundesliga, einfach mal",4,2024-05-24 06:51:25.714285824
37,"real, real madrid, madrid, träne, heim em",4,2024-05-24 06:51:25.714285824
38,"südafrika, humor, dirk, schreibtisch, stimme",2,2024-05-24 06:51:25.714285824
39,"restaurant, de, gebäude, unglück, trümmer",7,2024-05-24 06:51:25.714285824
40,"tanz, potsdamer, potsdam, pnn, baustelle",3,2024-05-24 06:51:25.714285824
41,"irland, spanien, rafah, beharren, offensive",1,2024-05-24 06:51:25.714285824
42,"john, sammlung, superstar, ausstellung, schönheit",1,2024-05-24 06:51:25.714285824
44,"variante, wiesbaden, 000 euro, alternativ, kilometer lang",2,2024-05-24 06:51:25.714285824
45,"provinz, dorf, australisch, um leben kommen, leben kommen",8,2024-05-24 06:51:25.714285824
47,"stichwahl, neonazi, landrat, thüringer, litauen",3,2024-05-24 06:51:25.714285824
48,"rolf, pflegen, alltag, glück, kümmern",6,2024-05-24 06:51:25.714285824
50,"alliance, wofür, jung leute, konto, urlaub",1,2024-05-24 06:51:25.714285824
51,"indisch, indien, kopieren, parlamentswahl, nervös",2,2024-05-24 06:51:25.714285824
53,"cdu fraktion, steuer, wiesbadener, kooperation, steuerzahler",1,2024-05-24 06:51:25.714285824
55,"vincent, belgisch, fc bayern, verpflichtung, einigen",3,2024-05-24 06:51:25.714285824
57,"christian lindner, finanzminister, studie zeigen, lindner, aktuell studie",2,2024-05-24 06:51:25.714285824
58,"arena, griechisch, basketball, final, auseinandersetzung",6,2024-05-24 06:51:25.714285824
59,"aushandeln, quote, bewältigen, spd politikerin, erbe",1,2024-05-24 06:51:25.714285824
60,"macron, demokratiefest, deutsch französisch, staatsbesuch, französisch",7,2024-05-24 06:51:25.714285824
61,"steinmeier, macron, staatsbesuch, frank walter, bundespräsident frank",5,2024-05-24 06:51:25.714285824
62,"fotograf, kamera, tiefe, sensor, bild",4,2024-05-24 06:51:25.714285824
64,"karte, drauf, finger, stein, partie",1,2024-05-24 06:51:25.714285824
65,"rennen, formel, charles, sieg, red",9,2024-05-24 06:51:25.714285824
66,"feld, senat, schwarz rot, transparent, 26 05 2024",1,2024-05-24 06:51:25.714285824
67,"sichtlich, worauf, berater, bewerben, vergangen",1,2024-05-24 06:51:25.714285824
68,"demokratiefest, katastrophe, global, drohend, such",2,2024-05-24 06:51:25.714285824
69,"kiosk, haftbefehl, gestalt, nase, böse",1,2024-05-24 06:51:25.714285824
71,"kontrast, aufregung, fahren, 26 05, 26 05 2024",1,2024-05-24 06:51:25.714285824
76,"kevin, one, street journal, wall street journal, journal",5,2024-05-24 06:51:25.714285824
77,"verdreifachen, sachlich, holger, auffällig, präsenz",1,2024-05-24 06:51:25.714285824
78,"antik, klaus, ausstellung, nackt, jury",3,2024-05-24 06:51:25.714285824
79,"flensburg, european, mathias, tor, treffer",5,2024-05-24 06:51:25.714285824
84,"walter, einschüchtern, politikerin politiker, appellieren, tat",2,2024-05-24 06:51:25.714285824
86,"schweizer, wm, tschechien, weltmeisterschaft, schweiz",4,2024-05-24 06:51:25.714285824
88,"letzter woche, 25 05 2024, 25 05, spaß, 05 2024 08",1,2024-05-24 06:51:25.714285824
90,"akademie, kunst, musik, ngo, künstler",1,2024-05-24 06:51:25.714285824
91,"misstrauen, balance, zuversicht, nüchtern, mitmachen",2,2024-05-24 06:51:25.714285824
94,"unternehmerisch, garantieren, ökologisch, nachhaltig, institution",1,2024-05-24 06:51:25.714285824
95,"texas, sturm, todesopfer, lahmlegen, bestätigt",1,2024-05-24 06:51:25.714285824
99,"innenminister, extremist, regeln, zugang, vertraulich",2,2024-05-24 06:51:25.714285824
100,"reibungslos, auto, klappen, hauptstadt, elektrisch",1,2024-05-24 06:51:25.714285824
101,"neuseeland, australien, unruhe, tourist, frankreich",2,2024-05-24 06:51:25.714285824
103,"vernetzen, geduld, tochter, heimisch, schmidt",1,2024-05-24 06:51:25.714285824
104,"erpressen, wiener, wien, einblick, jung mann",1,2024-05-24 06:51:25.714285824
107,"gouverneur, bundesstaat, medikament, kalifornien, us bundesstaat",2,2024-05-24 06:51:25.714285824
109,"niedersächsisch, politikerin, grünen, attacke, arme",5,2024-05-24 06:51:25.714285824
112,"rhein, jung alt, besucher, zahlreich mensch, franziska",1,2024-05-24 06:51:25.714285824
115,"31 mai, 25 05 2024, 25 05, 10 000, anmelden",1,2024-05-24 06:51:25.714285824
116,"macron, französisch präsident, merkel, französisch, angela merkel",3,2024-05-24 06:51:25.714285824
117,"werner, kasse, ruhestand, rendite, erbe",1,2024-05-24 06:51:25.714285824
118,"prinz, united, englisch, george, freude",1,2024-05-24 06:51:25.714285824
-1,"27 05, 27 05 2024, 28 05, 28 05 2024, macron",412,2024-05-26 10:17:08.571428608
0,"rafah, luftangriff, israelisch, hamas, syrien",63,2024-05-26 10:17:08.571428608
1,"nato, russland, ukrainisch, russisch, ukraine",37,2024-05-26 10:17:08.571428608
2,"gewitter, wasser, fluß, regen, keller",14,2024-05-26 10:17:08.571428608
3,"trump, jury, anwalt, zahlung, donald trump",7,2024-05-26 10:17:08.571428608
